ObjectID,GlobalID,SPEC_CHAR,LIN_NUM,Did you complete the associated Scouting Form?,Have you completed the associated Collection Equation Form?,COLL_ID,Collection Number,Seed Collection Reference Number,Alt. Collection Number,COLL_DT,adjusted_date,Did you collect on a second date?,SECOND_COLL_DT,Did you collect on additional days?,Date range,Collector Name(s),Taxa,NRCS PLANTS Code,outboxID,Approximate Number of Plants Found,Number of Plants Sampled,Collection Area Sampled in Acres,Seeds Collected From,Average Plant Height in Feet,Field Notes,Latitude,Longitude,Degree_long,Degree_lat,min_long,min_lat,long_sec,lat_sec,LATITUDE,LONGITUDE,GEOREF_SOURCE,GPS Datum,Elevation in feet,Subunit,Area within subunit,Location Details,State,County,Ecoregion Code,Seed Zone,Land owner,Non-BLM permission filed?,"Ecological Site Description, Habitat Type and/or National Vegetation Classification",Associated Species List,Modifying Factors,Describe other modifying factors,Land Form,Land Use,Geology,Approximate Slope in Degrees,Aspect,Soil Texture,SOIL_COLOR,Number of pressed specimens,Date voucher taken,Herbaria Receiving the Specimen,Identified by,Location of Identification,Date Identified,CreationDate,Creator,EditDate,Editor,Empirical Seed Zone,Ecoregion Name,Elevation in meters,NDA voucher collected?,NDA voucher number,Date Source ID application submitted to NDA?,adjusted_date2,x,y
4,8cc23b05-0093-459c-af37-4f8c21416548,No,,Y,Y,UT040,27,UT040-27,,6/7/2023 12:00:00 AM,6/8/2023 12:00:00 AM,N,,,,"Aguilar-McFarlane, P., Bateman, C.",Poa secunda,POSE,UT040-27-POSE,10000,2000,5,P,1.25,Bugs present need to treat. ,38.1891669190038,-113.756817579138,113,38,45,11,24.5432848955261,21.0009084135373,38°11'21.00090841353733 N,113°45'24.543284895526085 E,Geopoint,WGS84,6602.58691177581,Cedar City FO,Sheep Creek,"1.2 hrs from Lund UT. Head SW on Main St toward Mountain Spring Rd. Turn right onto Mountain Spring Rd and continue for 25 miles. Turn left onto Cougar Spar Rd and continue for 2.3 miles. Turn left onto Sheep Creek Rd and reach beginning of population in ~3 miles. Population borders road on both E and W (creek side) side of road. Majority on E side of road, continues at least 0.25-0.5 mile down road",Utah,Beaver,13E,20 - 25 / semi-humid,BLM,,Piñon juniper encroaching on sagebrush steppe,"JUOS,ARNO4,PIMO,ERNAB2,PHHOH",Grazed,,"Hillslope,Footslope","Grazing,Multiple_Use,Rangeland,Recreation,Wildlife_Habitat",Granite,15,NW,Sandy_Loam,7.5YR 3/3,4,5/17/2023 6:00:00 PM,"Smithsonian Institution (US), University of Nevada (RENO), Utah State University (UTC), Cedar City Field Office","L. Kitchen, Cedar City BLM",From_Pressed_Specimen_on_Another_Date,6/13/2023 6:00:00 PM,6/20/2023 1:20:05 PM,112phoenixmcfarlane,9/18/2023 4:50:16 PM,sgarcia61,8,Central Basin and Range,2012,N,,,,-113.756817579138,38.1891669190038
5,e9faf4bb-ad63-4495-a1f3-bda10ce4a60a,No,,Y,Y,UT010,7,UT010-7,,6/12/2023 12:00:00 AM,6/13/2023 12:00:00 AM,Y,6/14/2023 12:00:00 AM,Y,06/20/2023,"Aguilar-McFarlane, P., Bateman, C.",Balsamorhiza sagittata,BASA3,UT010-7-BASA3,30000,1770,1300,P,3,Very rocky and steep terrain. ,39.6211685530382,-112.231990418,112,39,13,37,55.1655048014152,16.2067909376321,39°37'16.20679093763215 N,112°13'55.16550480141518 E,Geopoint,WGS84,6535.86598573793,"NW of Champlin Peak,  NW Gilson Mountains",Long Canyon (Lony Cyn rd),"0.5 hrs from Lynndyl UT. Take Grand Army of the Republic Highway headed N. In 7.2 miles turn onto unmarked road headed E. In .25 mile turn S onto Old Highway 50. In 600 ft take a left turn onto Lony Canyon Rd headed E into Long Canyon. Stay on road for 4 miles. Population mostly on right side of road, up and down hills.",Utah,Juab,13E,15 - 20 / semi-humid,BLM,,R028AY324UT - Upland Shallow Loam (Utah Juniper - Singleleaf Pinyon),"POSE,LODI,CANU3,ALAC4,TRDU",Burned,,"Ridge,Scree","Conservation,Nature_Preserve,Recreation,Wildlife_Habitat",Slate,48.7,"NE,E",Clay_Loam,10YR 3/2,4,5/23/2023 6:00:00 PM,"Smithsonian Institution (US), University of Nevada (RENO), Utah State University (UTC), Fillmore Field Office","L. Kitchen, Cedar City BLM",From_Pressed_Specimen_on_Another_Date,6/13/2023 6:00:00 PM,6/22/2023 7:33:22 PM,112phoenixmcfarlane,9/18/2023 5:00:30 PM,sgarcia61,,Central Basin and Range,1992,N,,,,-112.231990418,39.6211685530382
6,97a5e6a6-cc0d-4f20-9fd0-2e5633e87015,No,,Y,Y,NV010,1,NV010-1,HES1,6/15/2023 12:00:00 AM,6/16/2023 12:00:00 AM,N,,,,"Sermersheim, H., Rytting, G.",Agoseris glauca,AGGL,NV010-1-AGGL,1000,100,2,P,0.5,,40.9440607427598,-115.948446685723,115,40,56,56,54.4080686028985,38.61867393534,40°56'38.618673935339984 N,115°56'54.40806860289854 E,Geopoint,WGS84,5763.8853356757,Tuscarora Field Office,Adobe Summit,"0.6 hrs from Elko NV via NV-225 N/Mountain City Highway N. Head N on NV-225 for 10.7 mi. Turn L onto dirt road found along house with red roof and American flag. Continue W for 0.7 mi, then verge R when met with a fork in the road. Continue N for 0.9 mi, then turn L. Continue W for 3.3 mi, population will be on the L/S side of the road.",Nevada,Elko,13E,10 - 15 / semi-arid,BLM,,R025XY014NV - LOAMY 10-12 P.Z.,"CRAC2,ARCAB3,GUSA2,PELE8,LUAR6",None,,Flat,Grazing,,15,NW,Sandy_Loam,7.5YR 3/1,4,6/14/2023 7:00:00 PM,"Smithsonian Institution (US), University of Nevada (RENO), Nevada Department of Agriculture (NDA), Tuscarora Field Office","R. Benkendorf, Chicago Botanic Garden",From_Pressed_Specimen_on_Another_Date,9/1/2023 10:13:04 PM,6/27/2023 12:54:20 AM,hazeyserm,9/15/2023 10:13:10 PM,rbenkendorf,,Central Basin and Range,1756,Y,,,,-115.948446685723,40.9440607427598
7,047b1bd8-c48a-47b1-b679-578b15343998,No,,Y,Y,NV010,2,NV010-2,HES2,6/27/2023 12:00:00 AM,6/28/2023 12:00:00 AM,N,,,,"Sermersheim, H., Rytting, G.",Balsamorhiza sagittata,BASA3,NV010-2-BASA3,100000,600,2,P,2,Seeds succumbed to mold damage after collection prior to shipping.,40.9377817488238,-115.902675899245,115,40,54,56,9.6332372837287,16.0142957657649,40°56'16.014295765764928 N,115°54'9.633237283728704 E,GPS,WGS84,6350.43155571726,Tuscarora Field Office,Adobe summit,"0.4 hrs from Elko NV via NV-225 N/Mountain City Highway N. Head N on NV-225 for 10.7 mi. Turn L onto dirt road found along house with red roof and American flag. Continue W for 0.7 mi, then verge R when met with a fork in the road. Continue N for 0.9 mi, then turn L. Continue for 0.2 mi, population will be found before passing the next fork in the road.",Nevada,Elko,13E,15 - 20 / semi-arid,BLM,,R025XY017NV - CLAYPAN 12-16 P.Z.,"ARCAB3,ALAC4,POSE,EROV,PELE8",Grazed,,Foothills,Grazing,,24,E,Sandy_Loam,2.5YR 2.5/2,4,6/27/2023 7:00:00 PM,"Smithsonian Institution (US), University of Nevada (RENO), Nevada Department of Agriculture (NDA), Tuscarora Field Office","R. Benkendorf, Chicago Botanic Garden",From_Pressed_Specimen_on_Another_Date,9/1/2023 10:11:51 PM,6/30/2023 3:18:27 AM,hazeyserm,9/15/2023 10:12:08 PM,rbenkendorf,,Central Basin and Range,1935,Y,,,,-115.902675899245,40.9377817488238
8,7601403e-f76e-4615-9a20-c37583992698,No,,Y,Y,UT010,8,UT010-8,,6/21/2023 12:00:00 AM,6/22/2023 12:00:00 AM,Y,6/26/2023 12:00:00 AM,Y,06/27/23,"Aguilar-McFarlane, P., Bateman, C.",Sphaeralcea grossulariifolia,SPGR2,UT010-8-SPGR2,400000,1307,2560,P,1.5,,39.5960857097316,-112.88909277442,112,39,53,35,20.7339879112578,45.9085550338756,39°35'45.90855503387559 N,112°53'20.733987911257827 E,Geopoint,WGS84,4722.55450756328,"W Crater Bench, E Drum Mountains",Brush Beryillum road,0.5 hrs from Delta UT via N Jones Rd and Brush Wellman Rd. Head W on US-50 W/US-6 W/W Main St for 0.9 mi. Turn R onto S 1000 W Rd/S County Rd 4469 and head N for 1.6 mi. Continue onto W 1500 N Rd for 0.2 mi. Turn R onto N Jones Rd and continue for 8.9 mi. Turn L onto Brush Wellman Rd and head W for 14.1 mi. Continue onto Brush Beryllium Rd for 4.8 mi. Population will begin and continue for 4 mi.,Utah,Juab,13E,10 - 15 / semi-arid,BLM,,R028AY119UT - Desert Flat (Shadscale),"BRTE,HAGL,BAAM4,PLJA,ACHY,ELEL5",None,,Flat,"Conservation,Grazing,Roadside,Transportation",Limestone,1,"S,SE",Clay,2.5Y 5/2,4,5/25/2023 6:00:00 PM,"Smithsonian Institution (US), University of Nevada (RENO), Utah State University (UTC), Fillmore Field Office","L. Kitchen, Cedar City BLM",From_Pressed_Specimen_on_Another_Date,6/13/2023 6:00:00 PM,6/30/2023 4:02:21 PM,112phoenixmcfarlane,9/18/2023 5:01:14 PM,sgarcia61,,Central Basin and Range,1439,N,,,,-112.88909277442,39.5960857097316
9,17e44a59-a0aa-4b8b-8d10-8239b8ad1c08,No,,Y,Y,UT040,28,UT040-28,,6/28/2023 12:00:00 AM,6/29/2023 12:00:00 AM,Y,6/29/2023 12:00:00 AM,N,,"Aguilar-McFarlane, P., Bateman, C.",Sphaeralcea parvifolia,SPPA2,UT040-28-SPPA2,1152000,706,3840,P,3,Many seed collectors were harvesting near us. ,37.5893469467108,-113.749390286029,113,37,44,35,57.8050297028062,21.6490081589228,37°35'21.64900815892281 N,113°44'57.80502970280622 E,Geopoint,WGS84,5458.37277086811,"Enterprise, cedar city field office",North hills,"0.1 hrs from Enterprise, UT. Take W Main St headed W. Turn right on N 200 W and continue, passing small rich neighborhood of new homes. Road will turn to dirt and curve right behind last house. Continue for 2-3 miles, you will start seeing population as soon as you begin on dirt road. Population is on both sides of road.",Utah,Iron,13E,15 - 20 / semi-arid,BLM,,R028AY220UT - Semidesert Loam (Wyoming Big Sagebrush),"BRTE,SIAL2,TACA8,PLJA,SATR12,CETE5","Burned,Seeded",,Foothills,"Conservation,Multiple_Use,Rangeland,Recreation",Igneous/sedimentary rock forms,15,NE,Clay_Loam,10YR 3/3,4,5/30/2023 6:00:00 PM,"Smithsonian Institution (US), University of Nevada (RENO), Utah Crop Improvement Society, Cedar City Field Office","L. Kitchen, Cedar City BLM",From_Pressed_Specimen_on_Another_Date,6/13/2023 6:00:00 PM,6/30/2023 4:17:33 PM,112phoenixmcfarlane,9/18/2023 4:37:44 PM,rbenkendorf,6,Central Basin and Range,1663,N,,,,-113.749390286029,37.5893469467108
10,4813488a-3156-4ac6-a857-ae3f08215ac0,No,,Y,Y,NV010,3,NV010-3,HES3,6/29/2023 12:00:00 AM,6/30/2023 12:00:00 AM,Y,7/10/2023 12:00:00 AM,N,,"Sermersheim, H., Rytting, G.",Balsamorhiza sagittata,BASA3,NV010-3-BASA3,30000,2000,200,P,2,,40.52462,-114.74242,114,40,44,31,32.7119999999843,28.6319999999955,40°31'28.631999999995514 N,114°44'32.7119999999843 E,Geopoint,WGS84,6968.73210979957,Wells Field Office,Spruce Mountain,"1.3 hrs from Wells NV via US-93 S. Head S on US-93 for 49.6 mi. Turn L onto BLM Road and continue E for 4.4 mi. At the intersection, turn L onto BLM Road 1023 and head N for 7 mi. Population will be on R/E side of road.",Nevada,Elko,13E,15 - 20 / semi-humid,BLM,,F028BY060NV - PIMO-JUOS/ARNO4/PSSPS-ACHY,"PELE8,ARCAB3,POSE, ACHY, HECO26",None,,Foothills,Recreation,,10,W,Loam,7.5YR 2.5/2,4,6/29/2023 7:00:00 PM,"Smithsonian Institution (US), University of Nevada (RENO), Nevada Department of Agriculture (NDA), Bristlecone Field Office","R. Benkendorf, Chicago Botanic Garden",From_Pressed_Specimen_on_Another_Date,9/1/2023 11:21:06 PM,7/8/2023 8:03:37 PM,hazeyserm,9/15/2023 11:23:39 PM,sgarcia61,,Central Basin and Range,2124,Y,,,,-114.742370057742,40.5246358209035
11,8ec3090c-dc6f-4e73-a64b-776812503e07,No,,Y,Y,FWS0800,43,FWS0800-43,N/A,6/25/2023 12:00:00 AM,6/25/2023 7:00:00 AM,N,,,,"Sigarroa, A., Plante, S.",Allium bisceptrum,ALBI2,FWS0800-43-ALBI2,1000,50,5,P,0.5,"Plants are drying out and mostly lost their leaves and flowers, the seed heads are open and ready to drop.",38.8207116495328,-119.618341138179,119,38,37,49,6.02809744446972,14.561938318119,38°49'14.561938318119019 N,119°37'6.028097444469722 E,Geopoint,WGS84,5942.46221486427,BLM Land,Verta Grande Mine Rd,"From Gardnerville, NV, head South on Highway 395 for 11 miles towards Verta Grande Mine Rd. Turn East (left) from Highway 395 onto Verta Grande Mine Rd. Travel ~500 feet on this road up a hill. The population is growing on the top of the hill on both sides where the road flattens out and it is barren and rocky.",Nevada,Douglas,13E,20 - 25 / semi-humid,BLM,,Sagebrush Steppe,"ELEL5,ARCAB3,PUTR2,CROCC,BRTE,JUCA7,AGCR,BLSC,CALE3,LUBR3","Burned,Invasives,Seeded",,Footslope,"Private,Multiple_Use",N/A,5,S,Silty_Clay,10YR 4/2,3,6/25/2023 7:00:00 PM,"University of Nevada, Reno; Smithsonian; US Forest Service Humboldt-Toiyabe National Forest Supervisor’s office",Dean Tonenna,From_Pressed_Specimen_on_Another_Date,7/5/2023 7:00:00 PM,7/10/2023 4:10:23 PM,averymsigarroa,9/21/2023 2:31:32 PM,kthomas3,N/A,Central Basin and Range,1811,N,,,,-119.618341138179,38.8207116495328
12,fde0f071-07e6-45e5-a6a3-2fd90b858738,No,,Y,Y,FWS0800,44,FWS0800-44,N/A,7/3/2023 12:00:00 AM,7/3/2023 7:00:00 AM,N,,,,"A. Sigarroa, S. Plante, Heston, S., Faig, K., Barrett, J., Kulpa, S.",Achnatherum hymenoides,ACHY,FWS0800-44-ACHY,10000,2000,100,P,2,In hunting area so it is pretty disturbed. Lots of car/foot traffic and litter. Significant cheat grass.,39.5730180265816,-119.659653590498,119,39,39,34,34.7529257920178,22.8648956938122,39°34'22.864895693812173 N,119°39'34.75292579201778 E,Geopoint,WGS84,4915.3179624875,BLM Land,Pah Rah Range,"From Sparks, NV, take Vista Blvd NE towards Golden Eagle Regional Park. Turn South (right) on Home Run Dr, continue south (turn right again) on Hans Berry Rd and follow the road for 0.3 miles until intersecting with a dirt road that takes you into the Pah Rah Range. There will be a BLM sign indicating public land at the dirt road as it is a popular shooting range. Follow the dirt road through Spanish Spring Canyon for 1.8 miles. Population is growing on both sides of the dirt road, east of Canoe Hill.",Nevada,Washoe,13E,20 - 25 / semi-arid,BLM,,Sagebrush steppe,"BRTE,ELEL5,SALSO,ERNA10,TACA8","Invasives,Other,Grazed,Burned",N/A,"Canyon,Footslope","Rangeland,Multiple_Use",N/A,8,NE,Sandy_Loam,10YR 3/2,3,6/26/2023 7:00:00 PM,"University of Nevada, Reno; Smithsonian; US Forest Service Humboldt-Toiyabe National Forest Supervisor’s office","Sarah Kulpa, Reno FWS Ecologist",From_Photograph,6/24/2023 7:00:00 PM,7/10/2023 4:10:24 PM,averymsigarroa,9/21/2023 2:31:39 PM,kthomas3,N/A,Central Basin and Range,1498,N,,,,-119.659653590498,39.5730180265816
13,acfcbca3-27d5-48d0-a96b-b6814ab80a98,No,,Y,Y,FWS0800,45,FWS0800-45,N/A,7/3/2023 12:00:00 AM,7/3/2023 7:00:00 AM,N,,,,"Sigarroa, A., Heston, S., Barrett, J., Faig, K.",Elymus elymoides,ELEL5,FWS0800-45-ELEL5,10000,10000,5,"P,G",2,"Population in multiple stages of seed, most of the population is putting out seed and ready to be collected. Will likely collect 1/5 of every plant.",39.5737957635413,-119.660138612544,119,39,39,34,36.499005159485,25.664748748776,39°34'25.66474874877599 N,119°39'36.49900515948502 E,Geopoint,WGS84,4919.09059349675,BLM Land,Pah Rah Range,"From Sparks, NV, take Vista Blvd NE towards Golden Eagle Regional Park. Turn South (right) on Home Run Dr, continue south (turn right again) on Hans Berry Rd and follow the road for 0.3 miles until intersecting with a dirt road that takes you into the Pah Rah Range. There will be a BLM sign indicating public land at the dirt road as it is a popular shooting range. Follow the dirt road through Spanish Spring Canyon for 1.8 miles. Population is growing on both sides of the dirt road, east of Canoe Hill.",Nevada,Washoe,,"20-25, 6-12",BLM,,Sagebrush steppe,"BRTE,ACHY,ERNA10,TACA8,SALSO","Grazed,Burned,Invasives",,"Canyon,Footslope","Recreation,Multiple_Use",N/A,8,NE,Sandy_Loam,10YR 3/2,3,6/24/2023 7:00:00 PM,"University of Nevada, Reno; Smithsonian; US Forest Service Humboldt-Toiyabe National Forest Supervisor’s office","Sarah Kulpa, Reno FWS Ecologist",In_Field,6/24/2023 7:00:00 PM,7/10/2023 4:10:24 PM,averymsigarroa,9/21/2023 2:40:36 PM,kthomas3,N/A,13,1499,N,,,1/1/1970 7:00:00 AM,-119.660138612544,39.5737957635413
14,5afcefbf-a549-401b-93e6-f3dd7d157912,No,,Y,Y,UT010,9,UT010-9,,7/11/2023 12:00:00 AM,7/12/2023 12:00:00 AM,Y,7/12/2023 12:00:00 AM,N,,"Aguilar-McFarlane, P., Bateman, C., Benkendorf, R.",Agrostis airoides,SPAI,UT010-9-SPAI,10000,1390,4,P,2,"Many bugs, needs to be treated.",39.6457911272913,-113.862049451433,113,39,51,38,43.3780251582186,44.8480582486678,39°38'44.848058248667826 N,113°51'43.378025158218634 E,Geopoint,WGS84,4736.86475728802,E of Partoun,S Jones road,2.4 hrs from Ely NV via US-50 E and Gandy Road. Head S on US-50 E/Great Basin Blvd for 64 mi. Turn L onto Gandy Rd/N Gandy Highway Rd and head N for 35.4 mi. Continue onto Snake Valley Rd for 6.6 mi. Turn R onto W Partoun Cutoff Rd/Rawlings Blvd and head E for 1.8 mi. Turn L onto S Jones Rd. Continue for 0.7 mi along power lines and population will be to the L/W side of the road.,Utah,Juab,13E,10 - 15 / arid,BLM,,R028AY004UT - Alkali Flat (Black Greasewood),"SAVE4,DISP,BAAM4,ACHY,ALOC2",Grazed,,Flat,"Conservation,Grazing,Multiple_Use,Rangeland,Recreation,Wildlife_Habitat",Sedimentary rock,2,W,Clay,10YR 5/3,5,7/11/2023 6:00:00 PM,"Smithsonian Institution (US), University of Nevada (RENO), Utah State University (UTC), Fillmore Field Office","R. Benkendorf, Chicago Botanic Garden",From_Pressed_Specimen_on_Day_of_Collection,7/11/2023 6:00:00 PM,7/16/2023 3:18:10 PM,112phoenixmcfarlane,9/18/2023 5:02:18 PM,sgarcia61,,Central Basin and Range,1443,N,,,,-113.862049451433,39.6457911272913
15,b82e0af3-49c3-44db-8e49-bcb1bf1f93a4,No,,Y,Y,FWS0800,46,FWS0800-46,N/A,7/11/2023 12:00:00 AM,7/11/2023 7:00:00 AM,N,,,,"S. Plants, A. Sigarroa",Achnatherum thurberianum,ACTH7,FWS0800-46-ACTH7,500000,500000,50,P,2,Some plants are in post seed and some are seeding.,41.7663171804255,-119.136520411556,119,41,8,45,11.4734816022872,58.741849531657,41°45'58.74184953165695 N,119°8'11.473481602287166 E,Geopoint,WGS84,5488.4115792759,BLM,Sheldon,"From Winnemucca take US highway 95 N for about 32 miles until the junction of 95 and 140. Take the 140 northwest (left) about 65 miles to Denio Junction. When you reach Denio Junction, turn westward to continue on the 140, following northwest toward Sheldon-Hart National Wildlife Refuge for about 25 miles. Turn south (left) on an unnamed road, marked by a Sheldon National Antelope Refuge sign, to arrive at Virgin Valley Campground. Follow the unnamed road south through the campground for about 2.5 miles until you see Virgin Valley Road. Turn southwest onto Virgin Valley Road, and continue for about 8 miles. Here, turn southwest (left) onto Sheldon Antelope Range Road, which is a rocky road heading up a hill. Follow the road southwest for about 2.35 miles to get to the point. The population is on both sides of the road once it plateaus.",Nevada,Humboldt,80E,15 - 20 / semi-arid,FWS,N,Sagebrush steppe,"ARCAB3,ELEL5,POSE,CAAM32,BRTE",Invasives,,Backslope,"Protected,Wildlife_Habitat,Multiple_Use",N/A,10,E,Silt_Loam,10YR 3/3,3,6/7/2023 7:00:00 PM,"University of Nevada, Reno; US Forest Service Humboldt-Toiyabe National Forest Supervisor’s Office; Smithsonian","Sophia Heston, FWS",From_Pressed_Specimen_on_Another_Date,7/17/2023 7:00:00 PM,7/17/2023 4:09:50 PM,averymsigarroa,9/21/2023 2:40:47 PM,kthomas3,N/A,Northern Basin and Range,1672,N,,,,-119.136520411556,41.7663171804255
16,7fa23473-70c6-4d93-b8dd-97523542eda8,No,,Y,Y,UT040,29,UT040-29,,7/18/2023 12:00:00 AM,7/19/2023 12:00:00 AM,Y,7/19/2023 12:00:00 AM,N,,"Aguilar-McFarlane, P., Bateman, C.",Crepis acuminata,CRAC2,UT040-29-CRAC2,40000,8360,1280,P,1.4,Very steep and rocky terrain ,38.1351746010938,-112.763725945627,112,38,45,8,49.4134042561825,6.62856393778782,38°8'6.628563937787817 N,112°45'49.4134042561825 E,Geopoint,WGS84,7361.21854517246,SE Minersville,Bald Hills Road,0.5 hrs from Minersville UT. Head E on Highway 21 for 8.3 miles. Take a right and head E on W Beanfarm road for 2.4 miles. Take a right turn headed S on unmarked road and stay on road for 0.6 miles. Keep left for 7 miles and turn right onto Chalk Hollow Loop for 0.1 miles then turn left onto Bald Hills Rd for 0.6 miles. Population is on E side of road about midway up hill about three acre long. Population also follows road on left hand side.,Utah,Iron,13E,10 - 15 / semi-humid,BLM,,R047XB308UT - Upland Loam (mountain big sagebrush/Indian ricegrass),"ACHY,HECO26,BASA3,ELEL5,ARCAB3","Seeded,Grazed,Invasives",,"Ridge,Depression","Conservation,Grazing,Multiple_Use,Rangeland,Recreation,Wildlife_Habitat",Granite,25,E,Sandy_Clay_Loam,10YR 2/2,4,7/5/2023 6:00:00 PM,"Smithsonian Institution (US), University of Nevada (RENO), Utah State University (UTC), Cedar City Field Office","L. Kitchen, Cedar City BLM",From_Pressed_Specimen_on_Another_Date,7/19/2023 6:00:00 PM,7/20/2023 7:21:46 PM,112phoenixmcfarlane,9/18/2023 4:53:17 PM,sgarcia61,,Central Basin and Range,2243,N,,,,-112.763725945627,38.1351746010938
17,c49b1f18-36e9-4dd6-9582-e393877ffc95,No,,Y,Y,FWS0800,47,FWS0800-47,N/A,7/19/2023 12:00:00 AM,7/19/2023 7:00:00 AM,N,,,,"Sigarroa, A., Plante, S.",Achnatherum thurberianum,ACTH7,FWS0800-47-ACTH7,500000,1000,100,P,2,"Plant seed heads are at different stages of ripening. Some seeds are white and have a double bent awn, while the other seeds are still green. Checked on population two days before this collection day, today they developed significantly faster within that time frame. Seeds can develop quickly so be sure to keep and eye on this species as it can be finicky. Huge beautiful populations in Sheldon to be collected from.",41.9758494012451,-119.411956742517,119,41,24,58,43.0442730614777,33.0578444824096,41°58'33.057844482409564 N,119°24'43.044273061477725 E,Geopoint,WGS84,6402.97599830553,Sheldon NWR,Round mountain,"From Winnemucca take US highway 95 N for about 32 miles until the junction of 95 and 140. Take the 140 northwest (left) about 65 miles to Denio Junction. When you reach Denio Junction, turn westward to continue on the 140, following northwest toward Sheldon-Hart National Wildlife Refuge for about 48 miles. Turn south (left) on an unnamed two track. Follow this road for 2.5 miles to reach the point. The population is on both sides of the two track.",Nevada,Washoe,80E,15 - 20 / semi-arid,FWS,N,Sagebrush steppe,"ARCAB3,ELEL5,POSE,BRTE,ERCA8,ERLA6",Invasives,,"Toeslope,Flat","Protected,Multiple_Use",N/A,3,NW,Clay_Loam,10YR 3/1,3,6/8/2023 7:00:00 PM,"Smithsonian, UNR, US Forest service Humboldt-Toiyabe National Forest Supervisor’s Office","Sophia Heston, FWS",From_Pressed_Specimen_on_Another_Date,7/17/2023 7:00:00 PM,7/20/2023 9:12:55 PM,averymsigarroa,9/21/2023 2:40:54 PM,kthomas3,N/A,Northern Basin and Range,1951,N,,,,-119.411956742517,41.9758494012451
